projectId,group,formatKey,autoStatus,humanStatus,validatorCorrect,notes,previewPath,criticalIssues,warningIssues
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","vk","vk-square","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_vk-square.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (6.0%)"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","vk","vk-vertical","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_vk-vertical.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (6.0%)"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","vk","vk-landscape","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_vk-landscape.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","vk","vk-stories","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_vk-stories.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (12.0%)"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","telegram","telegram-story","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_telegram-story.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (12.0%)"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","instagram","instagram-story","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_instagram-story.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5)) | image: Image below fold (safe area) | image: outside canvas (14.0%)"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","wildberries","wb-card","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_wb-card.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","wildberries","wb-infographic","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_wb-infographic.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","ozon","ozon-card","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_ozon-card.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
"38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7","ozon","ozon-fresh-square","minor","","","","experiment/results/previews/38bd1f6b-7a45-48b1-bbd0-ecfdb205faf7_ozon-fresh-square.svg","","WCAG AA contrast: fail (min ratio 1.21 (thresholds: fail < 3.0, warn < 4.5, pass >= 4.5))"
