formatId,formatName,group,fixedLayoutName,candidateSelectionName,sameLayout,fixedScore,candidateScore,deltaScore,fixedCriticalCount,candidateCriticalCount,deltaCritical,fixedWarningCount,candidateWarningCount,deltaWarning,fixedHiddenElements,candidateHiddenElements,fixedHiddenElementsCount,candidateHiddenElementsCount,deltaHiddenElements,candidateBetter,candidateWorse,candidateEqual
yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,imageTop,logoOnly,false,100,150,-50,0,0,0,2,3,-1,badge|decor,product-image|subtitle|cta|badge|decor,2,5,-3,false,true,false
yandex-rsy-320x1200-2x,Яндекс Директ / РСЯ Медийный баннер 320x1200 (2x),vertical,imageTop,hero,false,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-480x1800-3x,Яндекс Директ / РСЯ Медийный баннер 480x1800 (3x),vertical,imageTop,hero,false,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-240x400,Яндекс Директ / РСЯ Медийный баннер 240x400,vertical,imageTop,imageTop,true,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-480x800-2x,Яндекс Директ / РСЯ Медийный баннер 480x800 (2x),vertical,imageTop,hero,false,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-720x1200-3x,Яндекс Директ / РСЯ Медийный баннер 720x1200 (3x),vertical,imageTop,hero,false,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-240x600,Яндекс Директ / РСЯ Медийный баннер 240x600,narrow,imageTop,hero,false,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-480x1200-2x,Яндекс Директ / РСЯ Медийный баннер 480x1200 (2x),vertical,imageTop,hero,false,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-720x1800-3x,Яндекс Директ / РСЯ Медийный баннер 720x1800 (3x),vertical,imageTop,hero,false,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-300x250,Яндекс Директ / РСЯ Медийный баннер 300x250,square,hero,split,false,150,100,50,0,0,0,3,2,1,subtitle|cta|badge|decor,badge|decor,4,2,2,true,false,false
yandex-rsy-600x500-2x,Яндекс Директ / РСЯ Медийный баннер 600x500 (2x),square,hero,hero,true,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-900x750-3x,Яндекс Директ / РСЯ Медийный баннер 900x750 (3x),square,hero,hero,true,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-300x300,Яндекс Директ / РСЯ Медийный баннер 300x300,square,hero,split,false,100,100,0,0,0,0,2,2,0,subtitle|badge|decor,badge|decor,3,2,1,false,false,true
yandex-rsy-600x600-2x,Яндекс Директ / РСЯ Медийный баннер 600x600 (2x),square,hero,hero,true,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-900x900-3x,Яндекс Директ / РСЯ Медийный баннер 900x900 (3x),square,hero,hero,true,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
yandex-rsy-300x500,Яндекс Директ / РСЯ Медийный баннер 300x500,vertical,imageTop,hero,false,100,100,0,0,0,0,2,2,0,badge|decor,badge|decor,2,2,0,false,false,true
