caseId,randomFileName,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_001,case_001.png,,,,,
case_002,case_002.png,,,,,
case_003,case_003.png,,,,,
case_004,case_004.png,,,,,
case_005,case_005.png,,,,,
case_006,case_006.png,,,,,
case_007,case_007.png,,,,,
case_008,case_008.png,,,,,
case_009,case_009.png,,,,,
case_010,case_010.png,,,,,
case_011,case_011.png,,,,,
case_012,case_012.png,,,,,
case_013,case_013.png,,,,,
case_014,case_014.png,,,,,
case_015,case_015.png,,,,,
case_016,case_016.png,,,,,
case_017,case_017.png,,,,,
case_018,case_018.png,,,,,
case_019,case_019.png,,,,,
case_020,case_020.png,,,,,
case_021,case_021.png,,,,,
case_022,case_022.png,,,,,
case_023,case_023.png,,,,,
case_024,case_024.png,,,,,
case_025,case_025.png,,,,,
case_026,case_026.png,,,,,
case_027,case_027.png,,,,,
case_028,case_028.png,,,,,
case_029,case_029.png,,,,,
case_030,case_030.png,,,,,
case_031,case_031.png,,,,,
case_032,case_032.png,,,,,
case_033,case_033.png,,,,,
case_034,case_034.png,,,,,
case_035,case_035.png,,,,,
case_036,case_036.png,,,,,
case_037,case_037.png,,,,,
case_038,case_038.png,,,,,
case_039,case_039.png,,,,,
case_040,case_040.png,,,,,
case_041,case_041.png,,,,,
case_042,case_042.png,,,,,
case_043,case_043.png,,,,,
case_044,case_044.png,,,,,
case_045,case_045.png,,,,,
case_046,case_046.png,,,,,
case_047,case_047.png,,,,,
case_048,case_048.png,,,,,
case_049,case_049.png,,,,,
case_050,case_050.png,,,,,
case_051,case_051.png,,,,,
case_052,case_052.png,,,,,
case_053,case_053.png,,,,,
case_054,case_054.png,,,,,
case_055,case_055.png,,,,,
case_056,case_056.png,,,,,
case_057,case_057.png,,,,,
case_058,case_058.png,,,,,
case_059,case_059.png,,,,,
case_060,case_060.png,,,,,
case_061,case_061.png,,,,,
case_062,case_062.png,,,,,
case_063,case_063.png,,,,,
case_064,case_064.png,,,,,
case_065,case_065.png,,,,,
case_066,case_066.png,,,,,
case_067,case_067.png,,,,,
case_068,case_068.png,,,,,
case_069,case_069.png,,,,,
case_070,case_070.png,,,,,
case_071,case_071.png,,,,,
case_072,case_072.png,,,,,
case_073,case_073.png,,,,,
case_074,case_074.png,,,,,
case_075,case_075.png,,,,,
case_076,case_076.png,,,,,
case_077,case_077.png,,,,,
case_078,case_078.png,,,,,
case_079,case_079.png,,,,,
case_080,case_080.png,,,,,
case_081,case_081.png,,,,,
case_082,case_082.png,,,,,
case_083,case_083.png,,,,,
case_084,case_084.png,,,,,
case_085,case_085.png,,,,,
case_086,case_086.png,,,,,
case_087,case_087.png,,,,,
case_088,case_088.png,,,,,
case_089,case_089.png,,,,,
case_090,case_090.png,,,,,
