caseId,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_001,1,no,yes,no,Мелкий текст в малом формате
case_002,2,yes,yes,no,Пригодно как стартовая заготовка
case_003,2,yes,yes,no,Пригодно как стартовая заготовка
case_004,1,no,yes,no,Слишком мелкий текст и большой пустой запас
case_005,2,yes,yes,no,Пригодно как стартовая заготовка
case_006,2,yes,yes,no,Пригодно как стартовая заготовка
case_007,2,yes,yes,no,Пригодно как стартовая заготовка
case_008,2,yes,yes,no,Пригодно как стартовая заготовка
case_009,2,yes,yes,no,Пригодно как стартовая заготовка
case_010,1,yes,yes,no,"Текстовая часть узкая, требуется ручная правка"
case_011,1,yes,yes,no,"Заголовок близко к границе, требуется правка"
case_012,1,yes,yes,no,"Заголовок близко к границе, требуется правка"
case_013,1,yes,yes,yes,Заголовок пересекается с изображением
case_014,2,yes,yes,no,Пригодно как стартовая заготовка
case_015,2,yes,yes,no,Пригодно как стартовая заготовка
case_016,1,no,yes,no,Текст слишком мелкий в узком формате
case_017,2,yes,yes,no,Пригодно как стартовая заготовка
case_018,2,yes,yes,no,Пригодно как стартовая заготовка
case_019,1,yes,yes,yes,Текст частично заходит на изображение
case_020,2,yes,yes,no,Пригодно как стартовая заготовка
case_021,1,yes,yes,no,Крупный текст слишком близко к краю
case_022,1,no,yes,no,Мелкий текст в широком формате
case_023,2,yes,yes,no,Пригодно как стартовая заготовка
case_024,2,yes,yes,no,Пригодно как стартовая заготовка
case_025,1,yes,yes,no,"Элементы близко к верхней границе, требуется правка полей"
case_026,1,yes,yes,no,"Плотная компоновка, строка заголовка перегружена"
case_027,1,yes,no,no,Содержательная часть заголовка потеряна или обрезана
case_028,2,yes,yes,no,Пригодно как стартовая заготовка
case_029,2,yes,yes,no,Пригодно как стартовая заготовка
case_030,2,yes,yes,no,Пригодно как стартовая заготовка
case_031,1,yes,yes,no,"Узкая текстовая зона, требуется корректировка"
case_032,2,yes,yes,no,Пригодно как стартовая заготовка
case_033,2,yes,yes,no,Пригодно как стартовая заготовка
case_034,1,yes,yes,no,"Текстовая зона узкая, требуется выравнивание"
case_035,2,yes,yes,no,Пригодно как стартовая заготовка
case_036,2,yes,yes,no,Пригодно как стартовая заготовка
case_037,1,no,yes,no,Текст слишком мелкий в узком формате
case_038,2,yes,yes,no,Пригодно как стартовая заготовка
case_039,2,yes,yes,no,Пригодно как стартовая заготовка
case_040,2,yes,yes,no,Пригодно как стартовая заготовка
case_041,2,yes,yes,no,Пригодно как стартовая заготовка
case_042,1,yes,yes,no,Заголовок слишком близко к левому краю
case_043,1,no,yes,no,Мелкий текст в широком формате
case_044,2,yes,yes,no,Пригодно как стартовая заготовка
case_045,2,yes,yes,no,Пригодно как стартовая заготовка
case_046,1,no,yes,no,Мелкий текст в широком формате
case_047,2,yes,yes,no,Пригодно как стартовая заготовка
case_048,2,yes,yes,no,Пригодно как стартовая заготовка
case_049,1,yes,yes,no,Слишком мелкие второстепенные элементы
case_050,2,yes,yes,no,Пригодно как стартовая заготовка
case_051,2,yes,yes,no,Пригодно как стартовая заготовка
case_052,1,yes,yes,no,Узкая текстовая зона требует ручной корректировки
case_053,1,yes,yes,no,Текст и CTA слишком мелкие
case_054,2,yes,yes,no,Пригодно как стартовая заготовка
case_055,2,yes,yes,no,Пригодно как стартовая заготовка
case_056,1,yes,yes,no,Текст внизу близко к краю и мелкий
case_057,1,yes,yes,no,Заголовок перегружен по ширине
case_058,1,yes,yes,no,Плотная компоновка в малом формате
case_059,2,yes,yes,no,Пригодно как стартовая заготовка
case_060,0,no,no,yes,Критическое сжатие: текст разорван и наложен между блоками
case_061,1,no,yes,no,Мелкий текст в широком формате
case_062,2,yes,yes,no,Пригодно как стартовая заготовка
case_063,2,yes,yes,no,Пригодно как стартовая заготовка
case_064,1,yes,yes,no,"Слишком мелкий текст, требуется ручная правка"
case_065,2,yes,yes,no,Пригодно как стартовая заготовка
case_066,2,yes,yes,no,Пригодно как стартовая заготовка
case_067,1,yes,yes,no,Узкая текстовая зона требует правки
case_068,2,yes,yes,no,Пригодно как стартовая заготовка
case_069,2,yes,yes,no,Пригодно как стартовая заготовка
case_070,2,yes,yes,no,Пригодно как стартовая заготовка
case_071,1,yes,yes,no,Текст и CTA слишком близко к нижней зоне
case_072,1,yes,yes,no,Текст и CTA слишком близко к нижней зоне
case_073,1,yes,yes,no,Плотная текстовая зона в тизере
case_074,2,yes,yes,no,Пригодно как стартовая заготовка
case_075,0,no,no,yes,Критическое сжатие: текст разорван и наложен между блоками
case_076,1,yes,yes,no,Слишком мелкие второстепенные элементы
case_077,2,yes,yes,no,Пригодно как стартовая заготовка
case_078,2,yes,yes,no,Пригодно как стартовая заготовка
case_079,2,yes,yes,no,Пригодно как стартовая заготовка
case_080,2,yes,yes,no,Пригодно как стартовая заготовка
case_081,2,yes,yes,no,Пригодно как стартовая заготовка
case_082,2,yes,yes,no,Пригодно как стартовая заготовка
case_083,1,yes,yes,no,Нижняя зона текста перегружена
case_084,1,yes,yes,no,Нижняя зона текста перегружена
case_085,1,no,yes,no,Мелкий текст в широком формате
case_086,1,no,yes,no,Мелкий текст в широком формате
case_087,1,no,yes,no,Мелкий текст в широком формате
case_088,1,yes,yes,no,Узкая текстовая зона требует правки
case_089,2,yes,yes,no,Пригодно как стартовая заготовка
case_090,2,yes,yes,no,Пригодно как стартовая заготовка
